experiment,condition,replicate,seed,reached_target,generation,total,shannon
growth,Neutral mutations,0,42,,18,55527,1.0385107594543437
growth,Neutral mutations,1,43,,18,65624,0.9803996009334264
growth,Neutral mutations,2,44,,18,53504,0.9687658210190138
growth,Neutral mutations,3,45,,18,71349,1.0634987473063655
growth,Neutral mutations,4,46,,18,68235,0.9743331815221666
growth,Neutral mutations,5,47,,18,59821,0.9736933116549814
growth,Neutral mutations,6,48,,18,50750,0.9074234320992569
growth,Neutral mutations,7,49,,18,70681,1.254599957148477
growth,Neutral mutations,8,50,,18,64647,1.0392428071510218
growth,Neutral mutations,9,51,,18,57577,1.0043583671106986
growth,Neutral mutations,10,52,,18,64607,1.1830923911670057
growth,Neutral mutations,11,53,,18,60973,1.17230697865785
growth,One driver required,0,10042,,18,54242,1.3757434294314164
growth,One driver required,1,10043,,18,94559,2.0234169714187593
growth,One driver required,2,10044,,18,65089,1.572673201220262
growth,One driver required,3,10045,,18,76283,1.5705135742597254
growth,One driver required,4,10046,,18,82463,1.484238096866667
growth,One driver required,5,10047,,18,72996,1.5460386767924499
growth,One driver required,6,10048,,18,73157,1.4465496320486433
growth,One driver required,7,10049,,18,79860,1.6748536699274446
growth,One driver required,8,10050,,18,61923,1.2151583289645937
growth,One driver required,9,10051,,18,61118,1.4864603974980874
growth,One driver required,10,10052,,18,74626,1.4087943951144202
growth,One driver required,11,10053,,18,64796,1.3738064432525137
growth,Two drivers required,0,20042,,18,59162,0.9970287845712401
growth,Two drivers required,1,20043,,18,53827,1.1886980108207608
growth,Two drivers required,2,20044,,18,61938,1.0709983160512198
growth,Two drivers required,3,20045,,18,57847,1.1321586248752336
growth,Two drivers required,4,20046,,18,51291,0.9335939937299494
growth,Two drivers required,5,20047,,18,60038,1.0548232410311669
growth,Two drivers required,6,20048,,18,60451,0.9903450670444685
growth,Two drivers required,7,20049,,18,63296,0.9643080406037513
growth,Two drivers required,8,20050,,18,64516,0.9066398217720323
growth,Two drivers required,9,20051,,18,69339,1.0791940669501492
growth,Two drivers required,10,20052,,18,69576,1.074369298687591
growth,Two drivers required,11,20053,,18,51975,0.941378055434935
death_rate,0.2,0,50042,True,8,5822,0.7088572799194318
death_rate,0.2,1,50043,True,9,8182,0.6083471353288755
death_rate,0.2,2,50044,True,8,5034,0.6381129135945487
death_rate,0.2,3,50045,True,9,7855,0.7730386759188703
death_rate,0.2,4,50046,True,8,5290,0.5622535380915611
death_rate,0.2,5,50047,True,9,8138,0.573187132110008
death_rate,0.2,6,50048,True,8,5170,0.7089221673140373
death_rate,0.2,7,50049,True,9,7684,0.5883608132199445
death_rate,0.2,8,50050,True,9,7972,0.5666689347585183
death_rate,0.2,9,50051,True,8,5652,0.6057673220084727
death_rate,0.2,10,50052,True,8,5589,0.7359778059546662
death_rate,0.2,11,50053,True,8,5412,0.5973920031075268
death_rate,0.35,0,60042,True,14,6701,1.0562234743739551
death_rate,0.35,1,60043,True,14,5793,1.0296727804205104
death_rate,0.35,2,60044,True,14,6035,1.08683302391785
death_rate,0.35,3,60045,True,14,5498,0.9194810982660743
death_rate,0.35,4,60046,True,14,5544,1.4312633483650097
death_rate,0.35,5,60047,True,14,5351,0.8442122699090799
death_rate,0.35,6,60048,True,15,6436,0.9885836783099333
death_rate,0.35,7,60049,True,14,6594,1.3563025562147546
death_rate,0.35,8,60050,True,13,5415,1.3105429652743155
death_rate,0.35,9,60051,True,14,6535,0.961628723095644
death_rate,0.35,10,60052,True,15,6514,0.8652172914830921
death_rate,0.35,11,60053,True,14,5583,1.1485808945331806
death_rate,0.45,0,70042,True,31,5783,1.9696736339235332
death_rate,0.45,1,70043,True,24,6037,1.953552274356662
death_rate,0.45,2,70044,True,22,5301,1.789438546868437
death_rate,0.45,3,70045,True,26,5369,1.6982811821911188
death_rate,0.45,4,70046,True,25,5936,1.7081725265909748
death_rate,0.45,5,70047,True,26,5990,1.1890437070920827
death_rate,0.45,6,70048,True,25,6133,1.7271567752257613
death_rate,0.45,7,70049,True,25,5079,1.9057292819015537
death_rate,0.45,8,70050,True,36,5065,1.9427351387679688
death_rate,0.45,9,70051,True,30,5204,2.0835559676369457
death_rate,0.45,10,70052,True,28,5319,2.2040172119751844
death_rate,0.45,11,70053,True,28,5801,2.1167734925850965
