condition,replicate,seed,generation,total,il11_percent,shared_death_reduction,nonproducer_expected_offspring
IL11 OFF,0,300042,0,100,0.0,0.0,1.428
IL11 OFF,0,300042,1,134,0.0,0.0,1.428
IL11 OFF,0,300042,2,188,0.0,0.0,1.428
IL11 OFF,0,300042,3,287,0.0,0.0,1.428
IL11 OFF,0,300042,4,395,0.0,0.0,1.428
IL11 OFF,0,300042,5,583,0.0,0.0,1.428
IL11 OFF,0,300042,6,809,0.0,0.0,1.428
IL11 OFF,0,300042,7,1156,0.0,0.0,1.428
IL11 OFF,0,300042,8,1655,0.0,0.0,1.428
IL11 OFF,0,300042,9,2373,0.0,0.0,1.428
IL11 OFF,0,300042,10,3416,0.0,0.0,1.428
IL11 OFF,0,300042,11,4975,0.0,0.0,1.428
IL11 OFF,0,300042,12,7231,0.0,0.0,1.428
IL11 OFF,0,300042,13,10488,0.0,0.0,1.428
IL11 OFF,0,300042,14,15549,0.0,0.0,1.428
IL11 OFF,0,300042,15,22959,0.0,0.0,1.428
IL11 OFF,0,300042,16,34040,0.0,0.0,1.428
IL11 OFF,0,300042,17,50909,0.0,0.0,1.428
IL11 OFF,0,300042,18,76526,0.0,0.0,1.428
IL11 OFF,1,300043,0,100,0.0,0.0,1.428
IL11 OFF,1,300043,1,135,0.0,0.0,1.428
IL11 OFF,1,300043,2,203,0.0,0.0,1.428
IL11 OFF,1,300043,3,324,0.0,0.0,1.428
IL11 OFF,1,300043,4,428,0.0,0.0,1.428
IL11 OFF,1,300043,5,586,0.0,0.0,1.428
IL11 OFF,1,300043,6,835,0.0,0.0,1.428
IL11 OFF,1,300043,7,1178,0.0,0.0,1.428
IL11 OFF,1,300043,8,1728,0.0,0.0,1.428
IL11 OFF,1,300043,9,2470,0.0,0.0,1.428
IL11 OFF,1,300043,10,3472,0.0,0.0,1.428
IL11 OFF,1,300043,11,5036,0.0,0.0,1.428
IL11 OFF,1,300043,12,7205,0.0,0.0,1.428
IL11 OFF,1,300043,13,10251,0.0,0.0,1.428
IL11 OFF,1,300043,14,15006,0.0,0.0,1.428
IL11 OFF,1,300043,15,22039,0.0,0.0,1.428
IL11 OFF,1,300043,16,32388,0.0,0.0,1.428
IL11 OFF,1,300043,17,47784,0.0,0.0,1.428
IL11 OFF,1,300043,18,71046,0.0,0.0,1.428
IL11 OFF,2,300044,0,100,0.0,0.0,1.428
IL11 OFF,2,300044,1,154,0.0,0.0,1.428
IL11 OFF,2,300044,2,225,0.0,0.0,1.428
IL11 OFF,2,300044,3,332,0.0,0.0,1.428
IL11 OFF,2,300044,4,468,0.0,0.0,1.428
IL11 OFF,2,300044,5,680,0.0,0.0,1.428
IL11 OFF,2,300044,6,1038,0.0,0.0,1.428
IL11 OFF,2,300044,7,1459,0.0,0.0,1.428
IL11 OFF,2,300044,8,2071,0.0,0.0,1.428
IL11 OFF,2,300044,9,3037,0.0,0.0,1.428
IL11 OFF,2,300044,10,4473,0.0,0.0,1.428
IL11 OFF,2,300044,11,6687,0.0,0.0,1.428
IL11 OFF,2,300044,12,9941,0.0,0.0,1.428
IL11 OFF,2,300044,13,14730,0.0,0.0,1.428
IL11 OFF,2,300044,14,21890,0.0,0.0,1.428
IL11 OFF,2,300044,15,33061,0.0,0.0,1.428
IL11 OFF,2,300044,16,49867,0.0,0.0,1.428
IL11 OFF,2,300044,17,75459,0.0,0.0,1.428
IL11 OFF,2,300044,18,115271,0.0,0.0,1.428
IL11 OFF,3,300045,0,100,0.0,0.0,1.428
IL11 OFF,3,300045,1,147,0.0,0.0,1.428
IL11 OFF,3,300045,2,214,0.0,0.0,1.428
IL11 OFF,3,300045,3,293,0.0,0.0,1.428
IL11 OFF,3,300045,4,445,0.0,0.0,1.428
IL11 OFF,3,300045,5,668,0.0,0.0,1.428
IL11 OFF,3,300045,6,946,0.0,0.0,1.428
IL11 OFF,3,300045,7,1335,0.0,0.0,1.428
IL11 OFF,3,300045,8,1940,0.0,0.0,1.428
IL11 OFF,3,300045,9,2799,0.0,0.0,1.428
IL11 OFF,3,300045,10,4026,0.0,0.0,1.428
IL11 OFF,3,300045,11,5831,0.0,0.0,1.428
IL11 OFF,3,300045,12,8357,0.0,0.0,1.428
IL11 OFF,3,300045,13,12156,0.0,0.0,1.428
IL11 OFF,3,300045,14,17553,0.0,0.0,1.428
IL11 OFF,3,300045,15,25620,0.0,0.0,1.428
IL11 OFF,3,300045,16,37520,0.0,0.0,1.428
IL11 OFF,3,300045,17,55453,0.0,0.0,1.428
IL11 OFF,3,300045,18,81833,0.0,0.0,1.428
IL11 OFF,4,300046,0,100,0.0,0.0,1.428
IL11 OFF,4,300046,1,143,0.0,0.0,1.428
IL11 OFF,4,300046,2,203,0.0,0.0,1.428
IL11 OFF,4,300046,3,286,0.0,0.0,1.428
IL11 OFF,4,300046,4,391,0.0,0.0,1.428
IL11 OFF,4,300046,5,540,0.0,0.0,1.428
IL11 OFF,4,300046,6,800,0.0,0.0,1.428
IL11 OFF,4,300046,7,1167,0.0,0.0,1.428
IL11 OFF,4,300046,8,1697,0.0,0.0,1.428
IL11 OFF,4,300046,9,2505,0.0,0.0,1.428
IL11 OFF,4,300046,10,3491,0.0,0.0,1.428
IL11 OFF,4,300046,11,5031,0.0,0.0,1.428
IL11 OFF,4,300046,12,7375,0.0,0.0,1.428
IL11 OFF,4,300046,13,10593,0.0,0.0,1.428
IL11 OFF,4,300046,14,15240,0.0,0.0,1.428
IL11 OFF,4,300046,15,22080,0.0,0.0,1.428
IL11 OFF,4,300046,16,31937,0.0,0.0,1.428
IL11 OFF,4,300046,17,46482,0.0,0.0,1.428
IL11 OFF,4,300046,18,67380,0.0,0.0,1.428
IL11 OFF,5,300047,0,100,0.0,0.0,1.428
IL11 OFF,5,300047,1,131,0.0,0.0,1.428
IL11 OFF,5,300047,2,183,0.0,0.0,1.428
IL11 OFF,5,300047,3,244,0.0,0.0,1.428
IL11 OFF,5,300047,4,367,0.0,0.0,1.428
IL11 OFF,5,300047,5,519,0.0,0.0,1.428
IL11 OFF,5,300047,6,726,0.0,0.0,1.428
IL11 OFF,5,300047,7,1110,0.0,0.0,1.428
IL11 OFF,5,300047,8,1596,0.0,0.0,1.428
IL11 OFF,5,300047,9,2304,0.0,0.0,1.428
IL11 OFF,5,300047,10,3445,0.0,0.0,1.428
IL11 OFF,5,300047,11,4976,0.0,0.0,1.428
IL11 OFF,5,300047,12,7293,0.0,0.0,1.428
IL11 OFF,5,300047,13,10753,0.0,0.0,1.428
IL11 OFF,5,300047,14,15922,0.0,0.0,1.428
IL11 OFF,5,300047,15,23764,0.0,0.0,1.428
IL11 OFF,5,300047,16,35499,0.0,0.0,1.428
IL11 OFF,5,300047,17,53143,0.0,0.0,1.428
IL11 OFF,5,300047,18,80378,0.0,0.0,1.428
IL11 OFF,6,300048,0,100,0.0,0.0,1.428
IL11 OFF,6,300048,1,146,0.0,0.0,1.428
IL11 OFF,6,300048,2,211,0.0,0.0,1.428
IL11 OFF,6,300048,3,289,0.0,0.0,1.428
IL11 OFF,6,300048,4,400,0.0,0.0,1.428
IL11 OFF,6,300048,5,570,0.0,0.0,1.428
IL11 OFF,6,300048,6,801,0.0,0.0,1.428
IL11 OFF,6,300048,7,1164,0.0,0.0,1.428
IL11 OFF,6,300048,8,1702,0.0,0.0,1.428
IL11 OFF,6,300048,9,2450,0.0,0.0,1.428
IL11 OFF,6,300048,10,3472,0.0,0.0,1.428
IL11 OFF,6,300048,11,5018,0.0,0.0,1.428
IL11 OFF,6,300048,12,7260,0.0,0.0,1.428
IL11 OFF,6,300048,13,10514,0.0,0.0,1.428
IL11 OFF,6,300048,14,15323,0.0,0.0,1.428
