replicate,seed,generation,extended_extinction,total,sensitive,resistant,effective_genotypes,resistant_percent
0,100042,0,False,100,100,0,1.0,0.0
0,100042,1,False,158,158,0,1.165511699956745,0.0
0,100042,2,False,205,205,0,1.351821432401564,0.0
0,100042,3,False,301,301,0,1.4081248525709864,0.0
0,100042,4,False,413,413,0,1.6709883524051878,0.0
0,100042,5,False,581,581,0,1.8753546254750753,0.0
0,100042,6,False,828,828,0,2.1256882573106255,0.0
0,100042,7,False,1211,1211,0,2.378609481955422,0.0
0,100042,8,False,1678,1676,2,2.63951990763833,0.11918951132300358
0,100042,9,False,2552,2548,4,2.9578419508135885,0.15673981191222572
0,100042,10,False,3728,3717,11,3.566834975236261,0.29506437768240346
0,100042,11,False,5505,5482,23,4.174785459464992,0.4178019981834696
0,100042,12,False,8034,7986,48,4.846666933452961,0.5974607916355489
0,100042,13,False,11757,11691,66,5.686799809904347,0.5613676958407757
0,100042,14,False,17328,17203,125,6.656372463580368,0.721375807940905
0,100042,15,False,25428,25223,205,7.789337898822133,0.8061978920874626
0,100042,16,False,3992,3702,290,10.601388933942292,7.264529058116232
0,100042,17,False,980,556,424,12.341834630190053,43.265306122448976
0,100042,18,False,680,114,566,8.790520934532053,83.23529411764706
0,100042,19,False,810,14,796,6.682358055674892,98.27160493827161
0,100042,20,False,1141,7,1134,6.6959971922353265,99.38650306748467
0,100042,21,False,1562,4,1558,7.109878924934015,99.74391805377721
0,100042,22,False,2146,0,2146,7.680762261959186,100.0
0,100042,23,False,3007,0,3007,8.728677043528686,100.0
0,100042,24,False,4296,0,4296,9.838710593963503,100.0
0,100042,25,False,6084,0,6084,11.385616634413225,100.0
0,100042,26,False,8749,0,8749,12.629989004021255,100.0
0,100042,27,False,12639,0,12639,13.90057394424689,100.0
0,100042,28,False,18476,0,18476,15.488818829620419,100.0
0,100042,29,False,26974,0,26974,17.577383178097044,100.0
0,100042,30,False,39236,0,39236,19.351570703978656,100.0
0,100042,31,False,58166,0,58166,21.205442988338362,100.0
0,100042,32,False,86803,0,86803,23.360520232073547,100.0
0,100042,33,False,130009,0,130009,25.392253597227096,100.0
0,100042,34,False,196167,0,196167,27.299788699134275,100.0
0,100042,35,False,298565,0,298565,29.370645366635447,100.0
0,100042,36,False,456897,0,456897,31.524210887774434,100.0
0,100042,37,False,703924,0,703924,33.409136512214886,100.0
0,100042,38,False,1090989,0,1090989,35.349989732929906,100.0
1,100043,0,False,100,100,0,1.0,0.0
1,100043,1,False,137,137,0,1.0901507595272815,0.0
1,100043,2,False,201,201,0,1.3065966804599836,0.0
1,100043,3,False,304,304,0,1.5008161057625262,0.0
1,100043,4,False,453,451,2,1.9055751386280277,0.44150110375275936
1,100043,5,False,657,655,2,2.171079652801362,0.30441400304414
1,100043,6,False,930,925,5,2.50628151659635,0.5376344086021505
1,100043,7,False,1355,1345,10,2.5503803225330013,0.7380073800738007
1,100043,8,False,1968,1953,15,3.0628406642083457,0.7621951219512195
1,100043,9,False,2787,2762,25,3.648025745790553,0.897021887334051
1,100043,10,False,4016,3968,48,4.039149023097839,1.1952191235059761
1,100043,11,False,5824,5747,77,4.8032054036855145,1.3221153846153846
1,100043,12,False,8450,8332,118,5.5240165264361,1.3964497041420119
1,100043,13,False,12406,12226,180,6.353838316974825,1.4509108495889087
1,100043,14,False,18176,17884,292,7.547993151735859,1.6065140845070423
1,100043,15,False,26870,26437,433,8.81349358040456,1.611462597692594
1,100043,16,False,4647,4036,611,11.556193400606928,13.148267699591134
1,100043,17,False,1486,628,858,10.627181065245418,57.738896366083445
1,100043,18,False,1258,79,1179,5.26360253347651,93.7201907790143
1,100043,19,False,1678,10,1668,4.758141975901135,99.40405244338498
1,100043,20,False,2299,2,2297,4.9929657900209605,99.91300565463244
1,100043,21,False,3262,0,3262,5.803945158655936,100.0
1,100043,22,False,4593,0,4593,6.417642412085667,100.0
1,100043,23,False,6471,0,6471,7.415271797230572,100.0
1,100043,24,False,9200,0,9200,8.575033436874849,100.0
1,100043,25,False,13053,0,13053,10.083233606116837,100.0
1,100043,26,False,18474,0,18474,11.59819667473577,100.0
1,100043,27,False,26650,0,26650,13.598251113580943,100.0
1,100043,28,False,38788,0,38788,15.378164899089255,100.0
1,100043,29,False,56519,0,56519,17.24135793037074,100.0
1,100043,30,False,82875,0,82875,19.53708483330374,100.0
1,100043,31,False,122793,0,122793,21.677243670195423,100.0
1,100043,32,False,183175,0,183175,24.46040105852767,100.0
1,100043,33,False,275585,0,275585,26.940241687048257,100.0
1,100043,34,False,416495,0,416495,29.566047628423572,100.0
1,100043,35,False,634325,0,634325,32.23743774785455,100.0
1,100043,36,False,971070,0,971070,34.84323469807223,100.0
1,100043,37,False,1496600,0,1496600,37.45027697701869,100.0
2,100044,0,False,100,100,0,1.0,0.0
2,100044,1,False,146,146,0,1.0418105330394705,0.0
2,100044,2,False,213,212,1,1.188013255860165,0.4694835680751174
2,100044,3,False,299,299,0,1.418706041527257,0.0
2,100044,4,False,428,427,1,1.6648021849398886,0.2336448598130841
2,100044,5,False,600,597,3,1.8276960642879079,0.5
2,100044,6,False,862,855,7,1.9239816880260694,0.8120649651972158
2,100044,7,False,1230,1219,11,2.222048780013728,0.8943089430894309
2,100044,8,False,1704,1687,17,2.460422457372377,0.9976525821596244
2,100044,9,False,2476,2448,28,2.7158434593389775,1.1308562197092085
2,100044,10,False,3551,3510,41,3.160478322815289,1.1546043368065333
2,100044,11,False,5024,4971,53,3.611041825626265,1.054936305732484
2,100044,12,False,7325,7223,102,4.1400164250797085,1.3924914675767919
2,100044,13,False,10633,10480,153,4.750728153310925,1.4389165804570676
2,100044,14,False,15461,15236,225,5.511245736002264,1.4552745618006597
2,100044,15,False,22608,22251,357,6.371303578403631,1.5790870488322717
2,100044,16,False,3758,3271,487,9.264868481340399,12.959020755721129
2,100044,17,False,1188,543,645,7.357467430430538,54.292929292929294
2,100044,18,False,988,84,904,3.655588402354268,91.49797570850203
2,100044,19,False,1261,8,1253,2.7877674573803293,99.36558287073751
2,100044,20,False,1748,2,1746,3.2089410910188843,99.88558352402745
2,100044,21,False,2430,0,2430,3.7351322357876096,100.0
2,100044,22,False,3374,0,3374,4.079459880845705,100.0
2,100044,23,False,4641,0,4641,4.460827905197164,100.0
2,100044,24,False,6548,0,6548,5.1229451269921675,100.0
2,100044,25,False,9170,0,9170,5.682850539873465,100.0
2,100044,26,False,12989,0,12989,6.563246113948924,100.0
2,100044,27,False,18612,0,18612,7.4297901226927054,100.0
2,100044,28,False,26747,0,26747,8.350074670102233,100.0
2,100044,29,False,38621,0,38621,9.33161064459173,100.0
2,100044,30,False,56340,0,56340,10.489113469468592,100.0
2,100044,31,False,82382,0,82382,11.635872799363094,100.0
2,100044,32,False,121958,0,121958,12.908755918697768,100.0
2,100044,33,False,181392,0,181392,14.287666220093206,100.0
2,100044,34,False,270591,0,270591,15.696673300174101,100.0
2,100044,35,False,407920,0,407920,17.073063252294983,100.0
2,100044,36,False,618264,0,618264,18.55766724543745,100.0
2,100044,37,False,944137,0,944137,19.941204461003565,100.0
2,100044,38,False,1451133,0,1451133,21.320701339923502,100.0
3,100045,0,False,100,100,0,1.0,0.0
3,100045,1,False,137,137,0,1.1381374293030968,0.0
3,100045,2,False,171,171,0,1.4457698631652793,0.0
3,100045,3,False,253,253,0,1.5250137526440168,0.0
3,100045,4,False,347,347,0,1.8500474828991702,0.0
3,100045,5,False,488,488,0,1.8597693469397152,0.0
3,100045,6,False,724,724,0,2.191151874158186,0.0
3,100045,7,False,1075,1075,0,2.2746539071668375,0.0
3,100045,8,False,1506,1503,3,2.6122274155992486,0.199203187250996
3,100045,9,False,2284,2277,7,2.860766716127864,0.3064798598949212
3,100045,10,False,3275,3264,11,3.189946999517719,0.33587786259541985
3,100045,11,False,4744,4725,19,3.5552828495049895,0.40050590219224286
3,100045,12,False,6926,6891,35,4.059838393909798,0.5053421888535952
3,100045,13,False,10022,9964,58,4.7315413748929815,0.578726801037717
3,100045,14,False,14772,14680,92,5.393377137040415,0.6227998916869754
3,100045,15,False,21493,21339,154,6.301255727454189,0.7165123528590704
3,100045,16,False,3321,3114,207,8.5766091383268,6.233062330623306
3,100045,17,False,712,410,302,10.195446199183746,42.41573033707865
3,100045,18,False,463,47,416,5.754695803594923,89.8488120950324
3,100045,19,False,607,10,597,4.89601651484153,98.35255354200989
3,100045,20,False,816,3,813,5.018024612650306,99.63235294117646
3,100045,21,False,1159,0,1159,5.258820310342667,100.0
3,100045,22,False,1587,0,1587,6.1448510769582585,100.0
3,100045,23,False,2198,0,2198,7.241570982220846,100.0
3,100045,24,False,3161,0,3161,7.974905911146837,100.0
3,100045,25,False,4551,0,4551,9.571240708122037,100.0
3,100045,26,False,6620,0,6620,11.231434886649295,100.0
3,100045,27,False,9710,0,9710,12.55072536461483,100.0
3,100045,28,False,14323,0,14323,14.021784795558434,100.0
3,100045,29,False,21391,0,21391,15.326844306239524,100.0
3,100045,30,False,32234,0,32234,16.222021645449892,100.0
3,100045,31,False,48340,0,48340,17.48310511826208,100.0
3,100045,32,False,73780,0,73780,18.742021527783336,100.0
3,100045,33,False,112972,0,112972,20.049640523591037,100.0
3,100045,34,False,174390,0,174390,21.32088219172563,100.0
3,100045,35,False,269872,0,269872,22.746589887139667,100.0
3,100045,36,False,420011,0,420011,24.1383044770799,100.0
3,100045,37,False,657137,0,657137,25.52837223309495,100.0
3,100045,38,False,1034066,0,1034066,26.943882269787434,100.0
4,100046,0,False,100,100,0,1.0,0.0
4,100046,1,False,133,133,0,1.0,0.0
4,100046,2,False,184,184,0,1.1443871723190973,0.0
4,100046,3,False,258,258,0,1.196242899486475,0.0
4,100046,4,False,353,352,1,1.2911273569799138,0.28328611898017
4,100046,5,False,513,511,2,1.5340699688184007,0.3898635477582846
4,100046,6,False,750,744,6,1.68180454349121,0.8
4,100046,7,False,1092,1084,8,1.9485669233884624,0.7326007326007326
4,100046,8,False,1604,1595,9,2.238483117583192,0.5610972568578554
4,100046,9,False,2379,2357,22,2.50200498187353,0.9247583018074821
4,100046,10,False,3387,3352,35,2.878371064920312,1.0333628579864187
4,100046,11,False,4849,4807,42,3.2115948129028027,0.8661579707156115
4,100046,12,False,7023,6958,65,3.764207781019761,0.9255304001139114
4,100046,13,False,10165,10053,112,4.261255332875161,1.1018199704869651
4,100046,14,False,14820,14635,185,4.902822592056485,1.2483130904183535
4,100046,15,False,21660,21388,272,5.578568254776706,1.2557710064635272
4,100046,16,False,3398,3030,368,8.52805950283407,10.829899941141848
4,100046,17,False,946,419,527,10.454629739146188,55.708245243128964
4,100046,18,False,801,61,740,7.335389843420067,92.38451935081149
4,100046,19,False,1054,4,1050,6.4194964317342285,99.62049335863378
4,100046,20,False,1478,0,1478,7.067577446118684,100.0
4,100046,21,False,2111,0,2111,8.10060375058773,100.0
4,100046,22,False,3032,0,3032,9.265789436901304,100.0
4,100046,23,False,4349,0,4349,10.381886485805511,100.0
4,100046,24,False,6421,0,6421,11.465048020194168,100.0
4,100046,25,False,9185,0,9185,13.358528410865022,100.0
4,100046,26,False,13365,0,13365,14.81805857109813,100.0
4,100046,27,False,19722,0,19722,16.57416322233683,100.0
4,100046,28,False,29208,0,29208,18.150342132361196,100.0
4,100046,29,False,44009,0,44009,20.249137314964507,100.0
4,100046,30,False,66288,0,66288,22.073255721197967,100.0
4,100046,31,False,100192,0,100192,23.91110032166282,100.0
4,100046,32,False,153078,0,153078,25.555594147684342,100.0
4,100046,33,False,234920,0,234920,27.26755278576131,100.0
4,100046,34,False,362880,0,362880,29.041414889014533,100.0
4,100046,35,False,563676,0,563676,30.822966883246117,100.0
4,100046,36,False,880770,0,880770,32.57219096202203,100.0
4,100046,37,False,1381245,0,1381245,34.301765085843556,100.0
5,100047,0,False,100,100,0,1.0,0.0
5,100047,1,False,149,148,1,1.1178159849931664,0.6711409395973155
5,100047,2,False,206,206,0,1.1916952801293341,0.0
5,100047,3,False,299,298,1,1.4547664592197749,0.33444816053511706
5,100047,4,False,429,426,3,1.6810683346333386,0.6993006993006993
5,100047,5,False,622,615,7,2.0006861451603575,1.1254019292604502
5,100047,6,False,888,873,15,2.3910225762263835,1.6891891891891893
5,100047,7,False,1269,1252,17,2.7931411583302532,1.3396375098502757
5,100047,8,False,1832,1808,24,3.2878874825150923,1.3100436681222707
5,100047,9,False,2690,2649,41,3.9739712135306187,1.5241635687732342
5,100047,10,False,3859,3808,51,4.6025410553174835,1.3215859030837005
5,100047,11,False,5621,5539,82,5.356211013191333,1.4588151574452943
5,100047,12,False,8389,8259,130,6.082617865916117,1.5496483490284896
5,100047,13,False,12434,12240,194,7.172931625467564,1.5602380569406467
5,100047,14,False,18569,18254,315,8.2979919115123,1.6963756798966019
5,100047,15,False,28020,27526,494,9.589788537373058,1.7630264097073518
5,100047,16,False,4948,4221,727,13.778999388941322,14.6928051738076
5,100047,17,False,1696,664,1032,15.437440587255868,60.84905660377358
5,100047,18,False,1608,116,1492,9.976788357092842,92.7860696517413
