generation,total,resistant,il11_fraction,il11_shared_benefit,sensitive,richness,shannon,simpson,driver_fraction,suppressor_fraction,suppressor_biallelic_fraction
0,100,0,0.0,0.0,100,1,-0.0,0.0,0.0,0.0,0.0
1,132,0,0.0,0.0,132,3,0.08901799410738814,0.029958677685950508,0.007575757575757576,0.0,0.0
2,184,0,0.0,0.0,184,3,0.09366262162945106,0.03219517958412088,0.010869565217391304,0.0,0.0
3,246,0,0.0,0.0,246,6,0.18847951244337682,0.0636525877453894,0.016260162601626018,0.0,0.0
4,347,1,0.0,0.0,346,7,0.26890825575764776,0.09489323887749257,0.023054755043227664,0.0,0.0
5,500,4,0.0,0.0,496,13,0.41925649324650544,0.14507199999999987,0.032,0.0,0.0
6,720,3,0.0,0.0,717,22,0.588105203926925,0.1913001543209878,0.034722222222222224,0.0,0.0
7,1011,7,0.0,0.0,1004,27,0.6675214605174713,0.2149158465582841,0.043521266073194856,0.0,0.0
8,1364,12,0.0,0.0,1352,31,0.8096594602865701,0.2644488351493365,0.06158357771260997,0.0,0.0
9,1954,21,0.0,0.0,1933,40,0.9206972862322376,0.3001569360386117,0.0752302968270215,0.0,0.0
10,2883,29,0.0,0.0,2854,44,1.0445850665992433,0.3390750062953507,0.08498092265001735,0.0,0.0
11,4152,55,0.0,0.0,4097,60,1.1905225391427037,0.3885827244849851,0.10597302504816955,0.0,0.0
12,6029,87,0.0,0.0,5942,71,1.306355888281199,0.4276576521380695,0.12257422458119091,0.0,0.0
13,8850,133,0.0,0.0,8717,92,1.4243728270518041,0.4655253854256439,0.14022598870056496,0.0,0.0
14,12795,209,0.0,0.0,12586,125,1.5739752125161441,0.5121100175750684,0.164673700664322,0.00015631105900742478,0.00015631105900742478
15,18801,326,0.0,0.0,18475,167,1.7161715221642446,0.5545838928560569,0.19286208180415934,0.00015956598053295037,0.00015956598053295037
16,27867,490,0.0,0.0,27377,236,1.8727838088818276,0.597800664352224,0.22223418380162915,0.00025119316754584274,0.00025119316754584274
17,4744,723,0.0,0.0,4021,126,2.271031396291457,0.7287953506195098,0.24915682967959527,0.00021079258010118043,0.00021079258010118043
18,1690,1064,0.0,0.0,626,82,2.3323670155569016,0.7623829697839711,0.20236686390532543,0.0,0.0
19,1595,1496,0.0,0.0,99,62,1.8757879169042013,0.6046111968239303,0.19247648902821315,0.0,0.0
20,2137,2125,0.0,0.0,12,60,1.7750681835596795,0.596842537908092,0.22274216190921853,0.0,0.0
21,3013,3013,0.0,0.0,0,70,1.8830003521140712,0.633513872676307,0.25788250912711586,0.0,0.0
22,4338,4338,0.0,0.0,0,92,2.007661916786388,0.6644648671788931,0.28861226371599813,0.0,0.0
23,6322,6322,0.0,0.0,0,118,2.1392142346158307,0.7005504747285329,0.3310661183169883,0.0,0.0
24,9197,9197,0.0,0.0,0,151,2.2801802230622474,0.7316887835024845,0.36283570729585735,0.0004349244318799609,0.0004349244318799609
25,13271,13271,0.0,0.0,0,179,2.423677338906997,0.7647849506858246,0.4004973249943486,0.0006781704468389721,0.0006781704468389721
26,19429,19429,0.0,0.0,0,234,2.5638661565056617,0.7928580384247904,0.44521076740954246,0.0011837974162334653,0.0011837974162334653
27,28604,28604,0.0,0.0,0,290,2.7082094505771397,0.8190328184588629,0.4888826737519228,0.0017130471262760453,0.0017130471262760453
28,42865,42865,0.0,0.0,0,382,2.83727410053349,0.8386560825371292,0.5286130876006065,0.002379563746646448,0.002379563746646448
29,64054,64054,0.0,0.0,0,513,2.9621958201976613,0.8559217868021711,0.5698317044993287,0.0030599181940237923,0.0030599181940237923
30,96768,96768,0.0,0.0,0,677,3.08405281337352,0.8701122231928112,0.6121651785714286,0.0038545800264550263,0.0038545800264550263
31,147204,147204,0.0,0.0,0,846,3.1885531392240374,0.8811719207750909,0.6554849053014864,0.004938724491182305,0.004938724491182305
32,225205,225205,0.0,0.0,0,1116,3.288500981697333,0.8891257342322586,0.6922759263781888,0.0062742834306520725,0.0062742834306520725
33,347934,347934,0.0,0.0,0,1419,3.3754847764105524,0.8948846296590581,0.7277989503756459,0.007921042496565441,0.007921042496565441
34,541172,541172,0.0,0.0,0,1778,3.462599042438118,0.8996189292180579,0.7594609477208725,0.009769537226611872,0.009769537226611872
35,843272,843272,0.0,0.0,0,2296,3.5454299871890687,0.9032683741064498,0.789666916487207,0.012069652496466146,0.012069652496466146
36,1321031,1321031,0.0,0.0,0,2926,3.623717731294962,0.9062204478840322,0.8166545675309663,0.014635538454434454,0.014635538454434454
